"time","name","ref","table","plant","type","species","category","comment","deleted"
"2023-03-23 09:55:26","Katja","r0","Tisch 4","A4","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:56:21","Katja","r0","Tisch 4","A8","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:56:38","Katja","r0","Tisch 4","B6","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:57:53","Katja","r0","Tisch 4","C1","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:58:14","Katja","r0","Tisch 4","D4","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:58:38","Katja","r0","Tisch 3","A3","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:59:47","Katja","r0","Tisch 3","A6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:00:13","Katja","r0","Tisch 3","B7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:01:47","Katja","r0","Tisch 3","C2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:01:56","Katja","r0","Tisch 3","D9","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:09:53","Katja","r0","Tisch 2","A2","Schädling","Trauermücke","1 - 2","Puppe und eine orangene Milbe?",0
"2023-03-23 10:10:44","Katja","r0","Tisch 2","A5","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:11:05","Katja","r1","Tisch 2","A5","Schädling","Blattläuse","1 - 2","",0
"2023-03-23 10:13:24","Katja","r0","Tisch 2","B1","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:13:59","Katja","r0","Tisch 2","B1","Schädling","Weichhautmilbe","1 - 2","",0
"2023-03-23 10:15:06","Katja","r1","Tisch 2","C9","Schädling","Blattläuse","1 - 2","",0
"2023-03-23 10:15:45","Katja","r0","Tisch 2","D7","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:16:45","Katja","r0","Tisch 1","A3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:16:57","Katja","r0","Tisch 1","B4","Schädling","Weisse Fliege","0","",0
