"table","time","temp","hum","dew"
1,2023-03-17 06:00:00,15.5,47.5,4.4
1,2023-03-17 06:15:00,15.5,47.5,4.4
1,2023-03-17 06:30:00,15.5,47.5,4.4
1,2023-03-17 06:45:00,15.5,47.5,4.4
1,2023-03-17 07:00:00,15.5,47.5,4.4
1,2023-03-17 07:15:00,15.5,47.5,4.4
1,2023-03-17 07:30:00,15.5,47.5,4.4
1,2023-03-17 07:45:00,16,47.5,4.9
1,2023-03-17 08:00:00,16.5,47,5.2
1,2023-03-17 08:15:00,17.5,46.5,5.9
1,2023-03-17 08:30:00,18.5,46.5,6.8
1,2023-03-17 08:45:00,20.5,46,8.5
1,2023-03-17 09:00:00,22.5,45.5,10.1
1,2023-03-17 09:15:00,24.5,43.5,11.3
1,2023-03-17 09:30:00,25.5,41,11.3
1,2023-03-17 09:45:00,26,39.5,11.2
1,2023-03-17 10:00:00,26,35.5,9.6
1,2023-03-17 10:15:00,24.5,34,7.6
1,2023-03-17 10:30:00,25,32.5,7.4
1,2023-03-17 10:45:00,24,34,7.2
1,2023-03-17 11:00:00,24.5,33.5,7.4
1,2023-03-17 11:15:00,21.5,37,6.2
1,2023-03-17 11:30:00,23,41.5,9.2
1,2023-03-17 11:45:00,23,55,13.5
1,2023-03-17 12:00:00,23.5,51,12.8
1,2023-03-17 12:15:00,25.5,51,14.6
1,2023-03-17 12:30:00,25,51.5,14.3
1,2023-03-17 12:45:00,25,53.5,14.9
1,2023-03-17 13:00:00,25,50.5,14
1,2023-03-17 13:15:00,25.5,53,15.2
1,2023-03-17 13:30:00,25.5,50.5,14.5
1,2023-03-17 13:45:00,25.5,48.5,13.8
1,2023-03-17 14:00:00,25.5,49,14
1,2023-03-17 14:15:00,25.5,46.5,13.2
1,2023-03-17 14:30:00,25,47.5,13.1
1,2023-03-17 14:45:00,25,46.5,12.7
1,2023-03-17 15:00:00,25,44.5,12.1
1,2023-03-17 15:15:00,25,46,12.6
1,2023-03-17 15:30:00,24.5,47,12.5
1,2023-03-17 15:45:00,24.5,47.5,12.6
1,2023-03-17 16:00:00,24,50,12.9
1,2023-03-17 16:15:00,24,49,12.6
1,2023-03-17 16:30:00,24,50.5,13.1
1,2023-03-17 16:45:00,24,48.5,12.5
1,2023-03-17 17:00:00,23.5,48,11.9
1,2023-03-17 17:15:00,23,51.5,12.5
1,2023-03-17 17:30:00,22.5,52.5,12.3
1,2023-03-17 17:45:00,22,53,12
1,2023-03-17 18:00:00,21,53.5,11.2
1,2023-03-17 18:15:00,20.5,55.5,11.3
1,2023-03-17 18:30:00,20,57,11.2
1,2023-03-17 18:45:00,19,58.5,10.7
1,2023-03-17 19:00:00,18.5,60.5,10.7
1,2023-03-17 19:15:00,18,62,10.6
1,2023-03-17 19:30:00,17.5,63.5,10.5
1,2023-03-17 19:45:00,17,65,10.4
1,2023-03-17 20:00:00,16.5,66,10.1
1,2023-03-17 20:15:00,16.5,67.5,10.5
1,2023-03-17 20:30:00,16,68,10.1
1,2023-03-17 20:45:00,16,68,10.1
1,2023-03-17 21:00:00,15.5,68.5,9.7
1,2023-03-17 21:15:00,15,68.5,9.3
1,2023-03-17 21:30:00,15,68.5,9.3
