"id","time","name","ref","pflanze","gut_oder_nicht","art","kategorie","bemerkung","deleted"
"1","2023-03-23 09:55:26","werauchimmer","r0","T4 - A4","Schädling","Weisse Fliege","0","test","0"
"2","2023-03-23 09:56:21","werauchimmer","r0","T4 - A8","Schädling","Weisse Fliege","0","test","0"
"3","2023-03-23 09:56:38","werauchimmer","r0","T4 - B6","Schädling","Weisse Fliege","0","test","0"
"4","2023-03-23 09:57:53","werauchimmer","r0","T4 - C1","Schädling","Weisse Fliege","0","test","0"
"5","2023-03-23 09:58:14","werauchimmer","r0","T4 - D4","Schädling","Weisse Fliege","0","test","0"
"6","2023-03-23 09:58:38","werauchimmer","r0","T3 - A3","Schädling","Weisse Fliege","0","test","0"
"7","2023-03-23 09:59:47","werauchimmer","r0","T3 - A6","Schädling","Weisse Fliege","0","test","0"
"8","2023-03-23 10:00:13","werauchimmer","r0","T3 - B7","Schädling","Weisse Fliege","0","test","0"
"9","2023-03-23 10:01:47","werauchimmer","r0","T3 - C2","Schädling","Weisse Fliege","0","test","0"
"10","2023-03-23 10:01:56","werauchimmer","r0","T3 - D9","Schädling","Weisse Fliege","0","test","0"
"11","2023-03-23 10:09:53","werauchimmer","r0","T2 - A2","Schädling","Trauermücke","1 - 2","test","0"
"12","2023-03-23 10:10:44","werauchimmer","r0","T2 - A5","Schädling","Trauermücke","1 - 2","test","0"
"13","2023-03-23 10:11:05","werauchimmer","r0","T2 - A5","Schädling","Blattläuse","1 - 2","test","0"
"14","2023-03-23 10:13:24","werauchimmer","r0","T2 - B1","Schädling","Trauermücke","1 - 2","test","0"
"15","2023-03-23 10:13:59","werauchimmer","r0","T2 - B1","Schädling","Weichhautmilbe","1 - 2","test","0"
"16","2023-03-23 10:15:06","werauchimmer","r0","T2 - C9","Schädling","Blattläuse","1 - 2","test","0"
"17","2023-03-23 10:15:45","werauchimmer","r0","T2 - D7","Schädling","Trauermücke","1 - 2","test","0"
"18","2023-03-23 10:16:45","werauchimmer","r0","T1 - A3","Schädling","Weisse Fliege","0","test","0"
"19","2023-03-23 10:16:57","werauchimmer","r0","T1 - B4","Schädling","Weisse Fliege","0","test","0"
"20","2023-03-23 10:17:36","werauchimmer","r0","T1 - C7","Schädling","Weisse Fliege","0","test","0"
"21","2023-03-23 10:17:51","werauchimmer","r0","T1 - D7","Schädling","Weisse Fliege","0","test","0"
"22","2023-03-23 10:19:11","werauchimmer","r0","T1 - H6","Schädling","Weisse Fliege","0","test","0"
"23","2023-03-23 10:19:23","werauchimmer","r0","T1 - G5","Schädling","Weisse Fliege","0","test","0"
"24","2023-03-23 10:19:29","werauchimmer","r0","T1 - F2","Schädling","Weisse Fliege","0","test","0"
"25","2023-03-23 10:20:13","werauchimmer","r0","T1 - E1","Schädling","Weisse Fliege","0","test","0"
"26","2023-03-23 10:21:15","werauchimmer","r0","T2 - H8","Schädling","Blattläuse","1 - 2","test","0"
"27","2023-03-23 10:21:35","werauchimmer","r0","T2 - F6","Schädling","Weisse Fliege","0","test","0"
"28","2023-03-23 10:21:49","werauchimmer","r0","T2 - G3","Schädling","Weisse Fliege","0","test","0"
"29","2023-03-23 10:22:20","werauchimmer","r0","T2 - E2","Schädling","Trauermücke","0","test","0"
"30","2023-03-23 10:23:11","werauchimmer","r0","T3 - F8","Schädling","Weisse Fliege","0","test","0"
"31","2023-03-23 10:23:30","werauchimmer","r0","T3 - G6","Schädling","Weisse Fliege","0","test","0"
"32","2023-03-23 10:23:33","werauchimmer","r0","T3 - E5","Schädling","Weisse Fliege","0","test","0"
"33","2023-03-23 10:23:52","werauchimmer","r0","T3 - H1","Schädling","Weisse Fliege","0","test","0"
"34","2023-03-23 10:25:16","werauchimmer","r0","T4 - F9","Schädling","Weisse Fliege","0","test","0"
"35","2023-03-23 10:25:19","werauchimmer","r0","T4 - E7","Schädling","Weisse Fliege","0","test","0"
"36","2023-03-23 10:25:23","werauchimmer","r0","T4 - H5","Schädling","Weisse Fliege","0","test","0"
"37","2023-03-23 10:25:38","werauchimmer","r0","T4 - G2","Schädling","Weisse Fliege","0","test","0"
"38","2023-03-23 10:28:07","werauchimmer","r0","T8 - C2","Schädling","Weisse Fliege","0","test","0"
"39","2023-03-23 10:34:23","werauchimmer","r0","T8 - B3","Schädling","Weisse Fliege","1 - 2","test","0"
"40","2023-03-23 10:34:51","werauchimmer","r0","T8 - B3","Schädling","Blattläuse","1 - 2","test","0"
